Sample 00099: {'mpuData': {'accelX': 42496, 'accelY': 14614, 'accelZ': 10779}, 'adcData': {'adcX': 2, 'adcY': 65295, 'adcZ': 65295}}
Sample 00100: {'mpuData': {'accelX': 39424, 'accelY': 9750, 'accelZ': 6683}, 'adcData': {'adcX': 0, 'adcY': 10752, 'adcZ': 48902}}
Sample 00101: {'mpuData': {'accelX': 37632, 'accelY': 16150, 'accelZ': 13339}, 'adcData': {'adcX': 1, 'adcY': 27394, 'adcZ': 61448}}
Sample 00102: {'mpuData': {'accelX': 32768, 'accelY': 22294, 'accelZ': 3611}, 'adcData': {'adcX': 0, 'adcY': 20490, 'adcZ': 33038}}
Sample 00103: {'mpuData': {'accelX': 34560, 'accelY': 11542, 'accelZ': 1819}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00104: {'mpuData': {'accelX': 37120, 'accelY': 19734, 'accelZ': 16923}, 'adcData': {'adcX': 0, 'adcY': 0, 'adcZ': 16390}}
Sample 00105: {'mpuData': {'accelX': 26368, 'accelY': 19990, 'accelZ': 2587}, 'adcData': {'adcX': 0, 'adcY': 20738, 'adcZ': 54792}}
Sample 00106: {'mpuData': {'accelX': 28672, 'accelY': 64533, 'accelZ': 58138}, 'adcData': {'adcX': 0, 'adcY': 8459, 'adcZ': 4111}}
Sample 00107: {'mpuData': {'accelX': 30464, 'accelY': 28694, 'accelZ': 26651}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00108: {'mpuData': {'accelX': 32000, 'accelY': 27158, 'accelZ': 18715}, 'adcData': {'adcX': 0, 'adcY': 0, 'adcZ': 24838}}
Sample 00109: {'mpuData': {'accelX': 26880, 'accelY': 1046, 'accelZ': 52762}, 'adcData': {'adcX': 0, 'adcY': 20482, 'adcZ': 57864}}
Sample 00110: {'mpuData': {'accelX': 37888, 'accelY': 19990, 'accelZ': 3867}, 'adcData': {'adcX': 0, 'adcY': 14089, 'adcZ': 53517}}
Sample 00111: {'mpuData': {'accelX': 30976, 'accelY': 31254, 'accelZ': 26139}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00112: {'mpuData': {'accelX': 32000, 'accelY': 19734, 'accelZ': 59930}, 'adcData': {'adcX': 0, 'adcY': 1280, 'adcZ': 23558}}
Sample 00113: {'mpuData': {'accelX': 40192, 'accelY': 16150, 'accelZ': 12827}, 'adcData': {'adcX': 0, 'adcY': 17922, 'adcZ': 58120}}
Sample 00114: {'mpuData': {'accelX': 37888, 'accelY': 25878, 'accelZ': 3611}, 'adcData': {'adcX': 0, 'adcY': 8969, 'adcZ': 51981}}
Sample 00115: {'mpuData': {'accelX': 36352, 'accelY': 16662, 'accelZ': 57370}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00116: {'mpuData': {'accelX': 46336, 'accelY': 30742, 'accelZ': 7963}, 'adcData': {'adcX': 0, 'adcY': 0, 'adcZ': 23046}}
Sample 00117: {'mpuData': {'accelX': 41728, 'accelY': 25878, 'accelZ': 4891}, 'adcData': {'adcX': 0, 'adcY': 19202, 'adcZ': 59144}}
Sample 00118: {'mpuData': {'accelX': 43776, 'accelY': 18710, 'accelZ': 63258}, 'adcData': {'adcX': 0, 'adcY': 16137, 'adcZ': 54797}}
Sample 00119: {'mpuData': {'accelX': 38656, 'accelY': 25366, 'accelZ': 62490}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00120: {'mpuData': {'accelX': 45056, 'accelY': 25366, 'accelZ': 2843}, 'adcData': {'adcX': 0, 'adcY': 256, 'adcZ': 24582}}
Sample 00121: {'mpuData': {'accelX': 47360, 'accelY': 15638, 'accelZ': 40730}, 'adcData': {'adcX': 0, 'adcY': 18946, 'adcZ': 60168}}
Sample 00122: {'mpuData': {'accelX': 49152, 'accelY': 26134, 'accelZ': 59162}, 'adcData': {'adcX': 0, 'adcY': 16393, 'adcZ': 60941}}
Sample 00123: {'mpuData': {'accelX': 48640, 'accelY': 28182, 'accelZ': 54298}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00124: {'mpuData': {'accelX': 40448, 'accelY': 14614, 'accelZ': 57370}, 'adcData': {'adcX': 0, 'adcY': 2816, 'adcZ': 23046}}
